Gene.secondaryIdentifier	Gene.length	Gene.qualifier	Gene.chromosome.primaryIdentifier	Gene.chromosomeLocation.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand
YAL001C	3573	Verified	chrI	147594	151166	-1
YAL002W	3825	Verified	chrI	143707	147531	1
YAL003W	987	Verified	chrI	142174	143160	1
YAL005C	1929	Verified	chrI	139503	141431	-1
YAL007C	648	Verified	chrI	137698	138345	-1
YAL008W	597	Verified	chrI	136914	137510	1
YAL009W	780	Verified	chrI	135854	136633	1
YAL010C	1482	Verified	chrI	134184	135665	-1
YAL011W	1878	Verified	chrI	132199	134076	1
YAL012W	1185	Verified	chrI	130799	131983	1
YAL013W	1218	Verified	chrI	129270	130487	1
YAL014C	768	Verified	chrI	128252	129019	-1
YAL015C	1200	Verified	chrI	126903	128102	-1
YAL016W	1908	Verified	chrI	124879	126786	1
YAL017W	4071	Verified	chrI	120225	124295	1
YAL018C	978	Verified	chrI	118564	119541	-1
YAL019W	3396	Verified	chrI	114919	118314	1
YAL020C	1002	Verified	chrI	113614	114615	-1
YAL021C	2514	Verified	chrI	110846	113359	-1
YAL022C	1554	Verified	chrI	108877	110430	-1
YAL023C	2280	Verified	chrI	106272	108551	-1
YAL024C	4308	Verified	chrI	101565	105872	-1
YAL025C	921	Verified	chrI	100225	101145	-1
YAL026C	4068	Verified	chrI	95630	99697	-1
YAL027W	786	Verified	chrI	94687	95472	1
YAL028W	1587	Verified	chrI	92900	94486	1
YAL029C	4416	Verified	chrI	87855	92270	-1
YAL030W	467	Verified	chrI	87286	87752	1
YAL031C	2283	Verified	chrI	84749	87031	-1
YAL032C	1140	Verified	chrI	83335	84474	-1
YAL033W	522	Verified	chrI	82706	83227	1
YAL034W-A	870	Verified	chrI	79718	80587	1
YAL035W	3009	Verified	chrI	76427	79435	1
YAL036C	1110	Verified	chrI	75043	76152	-1
YAL037W	804	Uncharacterized	chrI	74020	74823	1
YAL038W	1503	Verified	chrI	71786	73288	1
YAL039C	810	Verified	chrI	68716	69525	-1
YAL040C	1743	Verified	chrI	65778	67520	-1
YAL041W	2565	Verified	chrI	62840	65404	1
YAL042W	1248	Verified	chrI	61316	62563	1
YAL043C	2358	Verified	chrI	58695	61052	-1
YAL044C	513	Verified	chrI	57950	58462	-1
YAL045C	309	Dubious	chrI	57488	57796	-1
YAL046C	357	Verified	chrI	57029	57385	-1
YAL047C	1869	Verified	chrI	54989	56857	-1
YAL048C	1989	Verified	chrI	52801	54789	-1
YAL049C	741	Verified	chrI	51855	52595	-1
YAL051W	3144	Verified	chrI	48564	51707	1
YAL053W	2352	Verified	chrI	45899	48250	1
YAL054C	2142	Verified	chrI	42881	45022	-1
YAL055W	543	Verified	chrI	42177	42719	1
YAL056W	2643	Verified	chrI	39259	41901	1
YAL058W	1509	Verified	chrI	37464	38972	1
YAL059W	639	Verified	chrI	36509	37147	1
YAL060W	1149	Verified	chrI	35155	36303	1
YAL061W	1254	Uncharacterized	chrI	33448	34701	1
YAL062W	1374	Verified	chrI	31567	32940	1
YAL063C	3969	Verified	chrI	24000	27968	-1
YAL064W	285	Verified	chrI	21566	21850	1
YAL066W	309	Dubious	chrI	10091	10399	1
YAL067C	1782	Verified	chrI	7235	9016	-1
YAR002W	1620	Verified	chrI	152257	153876	1
YAR003W	1281	Verified	chrI	155005	156285	1
YAR007C	1866	Verified	chrI	156754	158619	-1
YAR008W	828	Verified	chrI	158966	159793	1
YAR009C	3591	""	chrI	160597	164187	-1
YAR010C	1323	""	chrI	164544	165866	-1
YAR014C	2130	Verified	chrI	166742	168871	-1
YAR015W	921	Verified	chrI	169375	170295	1
YAR018C	1308	Verified	chrI	170396	171703	-1
YAR019C	2925	Verified	chrI	172211	175135	-1
YAR020C	168	Verified	chrI	176856	177023	-1
YAR023C	540	Uncharacterized	chrI	179281	179820	-1
