Gene.secondaryIdentifier	Gene.transcripts.chromosome.primaryIdentifier	Gene.transcripts.UTRs.chromosomeLocation.start	Gene.transcripts.UTRs.chromosomeLocation.end	Gene.chromosomeLocation.strand	Gene.transcripts.UTRs.primaryIdentifier
YAL002W	chrI	143550	143706	1	YAL002W_id001-5prime-utr
YAL002W	chrI	147532	147630	1	YAL002W_id001-3prime-utr
YAL003W	chrI	142032	142173	1	YAL003W_id001-5prime-utr
YAL003W	chrI	143161	143459	1	YAL003W_id001-3prime-utr
YAL004W	chrI	137649	140759	1	YAL004W_id001-5prime-utr
YAL004W	chrI	141408	142140	1	YAL004W_id001-3prime-utr
YAL005C	chrI	139357	139502	-1	YAL005C_id001-3prime-utr
YAL005C	chrI	141432	141678	-1	YAL005C_id001-5prime-utr
YAL007C	chrI	137413	137697	-1	YAL007C_id001-3prime-utr
YAL007C	chrI	138346	138453	-1	YAL007C_id001-5prime-utr
YAL008W	chrI	136431	136913	1	YAL008W_id001-5prime-utr
YAL008W	chrI	137511	137637	1	YAL008W_id001-3prime-utr
YAL009W	chrI	135408	135853	1	YAL009W_id001-5prime-utr
YAL009W	chrI	136634	136766	1	YAL009W_id001-3prime-utr
YAL010C	chrI	134001	134183	-1	YAL010C_id001-3prime-utr
YAL010C	chrI	135666	135688	-1	YAL010C_id001-5prime-utr
YAL011W	chrI	132169	132198	1	YAL011W_id001-5prime-utr
YAL011W	chrI	134077	134210	1	YAL011W_id001-3prime-utr
YAL012W	chrI	130436	130798	1	YAL012W_id001-5prime-utr
YAL012W	chrI	131984	132082	1	YAL012W_id001-3prime-utr
YAL013W	chrI	129194	129269	1	YAL013W_id001-5prime-utr
YAL013W	chrI	130488	130583	1	YAL013W_id001-3prime-utr
YAL014C	chrI	128031	128251	-1	YAL014C_id001-3prime-utr
YAL014C	chrI	129020	129072	-1	YAL014C_id001-5prime-utr
YAL015C	chrI	126756	126902	-1	YAL015C_id001-3prime-utr
YAL015C	chrI	128103	128110	-1	YAL015C_id001-5prime-utr
YAL016W	chrI	124786	124878	1	YAL016W_id001-5prime-utr
YAL016W	chrI	126787	126883	1	YAL016W_id001-3prime-utr
YAL018C	chrI	118426	118563	-1	YAL018C_id001-3prime-utr
YAL018C	chrI	119542	119591	-1	YAL018C_id001-5prime-utr
YAL019W	chrI	114788	114918	1	YAL019W_id001-5prime-utr
YAL019W	chrI	118315	118363	1	YAL019W_id001-3prime-utr
YAL020C	chrI	113468	113613	-1	YAL020C_id001-3prime-utr
YAL020C	chrI	114616	114624	-1	YAL020C_id001-5prime-utr
YAL021C	chrI	110536	110845	-1	YAL021C_id001-3prime-utr
YAL021C	chrI	113360	113406	-1	YAL021C_id001-5prime-utr
YAL022C	chrI	108732	108876	-1	YAL022C_id001-3prime-utr
YAL022C	chrI	110431	110471	-1	YAL022C_id001-5prime-utr
YAL023C	chrI	106141	106271	-1	YAL023C_id001-3prime-utr
YAL023C	chrI	108552	108718	-1	YAL023C_id001-5prime-utr
YAL025C	chrI	99939	100224	-1	YAL025C_id001-3prime-utr
YAL025C	chrI	101146	101168	-1	YAL025C_id001-5prime-utr
YAL027W	chrI	94595	94686	1	YAL027W_id001-5prime-utr
